url,domain,scrape_status,word_count,h1_count,h2_count,h3_count,num_headings,num_paragraphs,num_lists,num_images,num_links,has_faq,has_definition,has_stats,has_numbers,has_quotes,has_author,has_date,has_schema,has_og_tags,has_meta_description,meta_desc_length,title_length,page_size_kb
https://www.dictionary.com/browse/what,www.dictionary.com,success,1242.0,1.0,15.0,3.0,19.0,116.0,18.0,7.0,21.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,119.0,47.0,93.033203125
https://en.wiktionary.org/wiki/what,en.wiktionary.org,success,10510.0,0.0,5.0,25.0,30.0,28.0,95.0,6.0,2386.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,38.0,542.974609375
https://dictionary.cambridge.org/us/dictionary/english/what,dictionary.cambridge.org,success,2765.0,1.0,6.0,14.0,21.0,30.0,25.0,8.0,428.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,122.0,53.0,408.5087890625
https://en.wikipedia.org/wiki/What,en.wikipedia.org,success,423.0,0.0,5.0,2.0,7.0,3.0,10.0,4.0,60.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,73.2607421875
https://www.icagile.com/resources/honest-review-of-6-personal-project-management-tools-with-kanban-view,www.icagile.com,success,1749.0,0.0,4.0,7.0,11.0,39.0,13.0,10.0,17.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,253.0,7.0,85.4052734375
https://www.teamwork.com/blog/best-project-management-tools/,www.teamwork.com,success,4532.0,1.0,21.0,10.0,32.0,217.0,25.0,26.0,58.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,134.0,41.0,530.2490234375
https://zapier.com/blog/best-project-management-software-small-business/,zapier.com,success,4589.0,1.0,14.0,8.0,23.0,213.0,24.0,19.0,128.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119.0,59.0,1120.4638671875
https://www.wrike.com/project-management-guide/faq/what-are-project-management-tools/,www.wrike.com,success,14429.0,1.0,10.0,44.0,55.0,410.0,32.0,37.0,204.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,68.0,1672.0341796875
https://plaky.com/blog/best-project-management-tools-for-small-teams/,plaky.com,success,7087.0,1.0,26.0,37.0,64.0,207.0,16.0,37.0,130.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,119.0,56.0,187.0302734375
https://www.paymoapp.com/blog/project-management-software/,www.paymoapp.com,success,17756.0,1.0,8.0,54.0,63.0,637.0,5.0,234.0,226.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,106.0,55.0,608.5615234375
https://www.ifourtechnolab.com/blog/top-ten-project-management-tools-for-small-to-medium-it-projects,www.ifourtechnolab.com,success,4314.0,1.0,22.0,9.0,32.0,128.0,72.0,113.0,263.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,177.0,90.0,243.7412109375
https://www.uschamber.com/co/grow/customers/choosing-the-best-crm-software,www.uschamber.com,success,2962.0,1.0,11.0,9.0,21.0,59.0,14.0,12.0,88.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,119.0,67.0,82.86328125
https://www.creatio.com/glossary/how-to-choose-crm,www.creatio.com,success,3948.0,1.0,7.0,15.0,23.0,62.0,16.0,17.0,65.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,154.0,56.0,211.3896484375
https://www.salesforce.com/crm/best-crm/,www.salesforce.com,success,4013.0,0.0,0.0,16.0,16.0,73.0,2.0,15.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.0,51.0,548.7373046875
https://www.zendesk.com/blog/sales/crm-buying-guide/choose-best-crm-business-needs/,www.zendesk.com,success,2733.0,1.0,9.0,14.0,24.0,46.0,17.0,19.0,101.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,124.0,48.0,697.7939453125
https://www.vested.marketing/blog/guide-to-choosing-the-right-crm-for-your-business,www.vested.marketing,success,2085.0,1.0,5.0,8.0,14.0,50.0,3.0,7.0,98.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,150.0,49.0,220.6904296875
https://www.pcmag.com/picks/the-best-crm-software,www.pcmag.com,success,5228.0,0.0,23.0,54.0,77.0,75.0,63.0,88.0,246.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,209.0,51.0,3104.8818359375
